Gamma,Alpha,Training_accuracy,Test_accuracy,Exp. training acc. estimate,Accuracy estimate (Exp. stat. acc. estimate)
10,1,0.1106720594199839,0.11010788501336906,0.11514791976125323,0.11449865287838719
20,5,0.11514791976125323,0.11449865287838719,0.11514791976125323,0.11449865287838719
