Fold,Hyperparameter,Training_accuracy,Test_accuracy,Exp. training acc. estimate,Accuracy estimate (Exp. stat. acc. estimate)
Fold n.0,0.0,0.058069237271147545,0.03250934753262824,0.05240297725651559,0.05210350067826506
Fold n.1,0.0,0.05215307612035436,0.0506672144073701,0.05240297725651559,0.05210350067826506
Fold n.2,0.0,0.05235920833098806,0.05135328304334652,0.05240297725651559,0.05210350067826506
Fold n.3,0.0,0.049898834810931825,0.062132798572352765,0.05240297725651559,0.05210350067826506
Fold n.4,0.0,0.049534529749156175,0.06385485983562766,0.05240297725651559,0.05210350067826506
