Fold,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10
Fold n.0,2.9204780655669993e-16,-0.049339327430828805,0.09760740622661067,-0.08511688940104926,0.054835557491577265,-0.08547321131175496,-0.05235069322914074,-0.18906980392156986,-0.007893456595754756,-0.09517645009922082,-0.0015101015636093016
Fold n.1,-4.494532874709778e-17,-0.04688612449945521,0.09654750325430927,-0.07481193276026893,0.05424225081620972,-0.08513277624522671,-0.04209850038650981,-0.17647483594935212,-0.0036153039639894823,-0.09669426140216021,0.003057269895237739
Fold n.2,4.252667548618655e-17,-0.044641224847556754,0.09597267061772607,-0.07970974607581945,0.061708637415509096,-0.08503699395451335,-0.03816754137682291,-0.17600258151721496,-0.001399106811485074,-0.09948376493466914,0.0017744725653948954
Fold n.3,-1.36502779261295e-16,-0.041418552896021955,0.09738013364659331,-0.0673164279910278,0.0538552368392772,-0.08191054193703154,-0.03809225213333697,-0.17299794888729278,-0.00497555642271866,-0.09884909486391677,-0.0013820030932019255
Fold n.4,-2.0903417885520525e-16,-0.04360195155278214,0.09108404599021001,-0.06820742470315544,0.05287317381853915,-0.08138571761462472,-0.04367227774304914,-0.1740290877390884,-0.004303817636919385,-0.09835546023490253,0.002030127776006251
