Fold,Hyperparameter,Training_accuracy,Test_accuracy,Exp. training acc. estimate,Accuracy estimate (Exp. stat. acc. estimate)
Fold n.0,100.67114093959732,0.453247864775981,0.4479212812599048,0.45295886515996814,0.450925083502285
Fold n.1,100.67114093959732,0.4522264882506991,0.45282609171470245,0.45295886515996814,0.450925083502285
Fold n.2,100.67114093959732,0.4533976611531352,0.4527173127683274,0.45295886515996814,0.450925083502285
Fold n.3,100.67114093959732,0.45553868444802414,0.4494890783431632,0.45295886515996814,0.450925083502285
Fold n.4,100.67114093959732,0.450383627172001,0.4516716534253269,0.45295886515996814,0.450925083502285
