Fold,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33,w_34,w_35,w_36,w_37,w_38,w_39,w_40,w_41,w_42,w_43,w_44,w_45,w_46,w_47,w_48,w_49,w_50,w_51,w_52,w_53,w_54,w_55,w_56,w_57,w_58,w_59,w_60,w_61,w_62,w_63,w_64,w_65,w_66,w_67,w_68,w_69,w_70,w_71,w_72,w_73,w_74,w_75,w_76,w_77,w_78,w_79,w_80,w_81,w_82,w_83,w_84,w_85,w_86,w_87,w_88,w_89,w_90,w_91,w_92,w_93,w_94,w_95,w_96,w_97,w_98,w_99,w_100,w_101,w_102,w_103,w_104,w_105,w_106,w_107,w_108,w_109,w_110,w_111,w_112,w_113,w_114,w_115,w_116,w_117,w_118,w_119,w_120,w_121,w_122,w_123,w_124,w_125,w_126,w_127,w_128,w_129,w_130,w_131
Fold n.0,-0.017313778873813794,-0.022937768426945497,0.0308947211664847,-0.03427784688631281,0.02996891393630293,-0.023663364649099357,-0.017752634810050325,-0.03527398605159291,-0.013119035574407472,-0.04699947672991206,-0.0033520786273770814,0.00028296352220581874,0.008969089168313347,0.09952768784766132,-0.04102001291911339,0.19595452773619224,-0.46448011578303905,0.15347195671328479,-0.1561619452085413,0.45806912585068127,0.4394905036559983,-0.5670421324391657,-0.44220263232125145,0.008439070662728074,0.36139316837969376,-0.6769871175090351,0.294651392374329,-0.1814195595940005,-0.9664744490426929,-0.05743707646465525,0.610216483339394,0.12197508816770163,-0.190016667983375,-0.34281680189373226,-0.5834706438031466,-0.0775312766392586,-0.0908334184595769,-0.19256218385347812,0.3629893675122169,-0.9741838196631022,-0.021242022483381612,-0.2186917509904225,-0.3818457408963837,0.2439931173419564,0.282105343016783,0.46468779882426176,0.4689154533298622,0.37435442325885016,0.4262735157432201,0.17116639878982992,0.1942888193127426,0.16941873815900457,0.06806900738516952,0.18092197785780048,0.34507956023820546,0.17041688497446397,-0.34662768253202714,-0.852511187256341,0.135012294454239,0.5212888913679761,-0.2750431698105435,-0.5904885672081808,0.38565484252681675,0.06328583837876706,-0.38131210213732747,-0.4425574579504658,0.38882270327994567,-0.72238303261041,0.45543412983898013,-0.8042009310737657,0.5348952408243755,0.3453979472285449,0.33390246648142735,-0.20967457452062666,-1.2962839496771386,-0.4618821410475145,-0.5050838850410235,0.25569445493218096,0.15583634578011146,-0.47530866236749514,0.7098983400365999,-0.9034282383920665,0.04086362661584602,0.5521029959602533,-0.3031751105472186,0.22263176770190915,0.45790636959571207,0.27933223852439554,-0.09575172938192428,0.17988535308498543,-0.260848519517667,-0.1670721528682271,0.3436181516824082,-0.4819076492748974,0.4169878160835254,0.7843721294799466,0.948496647587953,-0.3339034266721331,0.5165276261288789,0.3013906453823574,0.19783055382304757,0.16531876468059628,0.1558948232262157,0.42929834113412524,0.5172258609124416,-0.21523791139647253,-0.02592128988655123,-0.08826314761058654,-1.3619929391453092,0.5322751093315607,-0.315449496112885,0.13532076146459804,0.4324549825114077,0.05924898714147787,0.20307085526597754,-0.010697943570173953,0.10555048266015654,0.2003385304790682,-0.33944127331474133,0.2051178043235068,-0.468986017329282,0.07812816509687658,0.0597981529244451,-0.6257601603217002,0.14348352408737236,0.191134013060394,-0.10443531308088132,0.07923141781582468,0.24741352228812355,0.06944818049123977,-0.4833778384474315,-0.13673658284946347
Fold n.1,-0.019622529068311908,-0.019322350319393965,0.03450941166513128,-0.035618230806870654,0.029765308073849115,-0.01893661853996579,-0.017164532423457876,-0.03417231608627109,-0.012209447947596687,-0.04583812316174815,-0.001320972853782836,-0.0016631918355577981,0.008907527077397809,0.10035229000889613,-0.03898180264093018,0.2195906328170271,-0.4678872347778055,0.13865549897671725,-0.220636283214557,0.4425929481184366,0.44371799834632064,-0.5624179807765332,-0.42964621756941296,0.0005882344031574487,0.36164533799555837,-0.690390749288683,0.31088234102353207,-0.18451777796839466,-0.9756673393227598,-0.0709115068343729,0.6183630609202609,0.13521438255771753,-0.18405842054969507,-0.37036857946199025,-0.5549515453574525,-0.08103351808382349,-0.08243617281192529,-0.18911551761531284,0.37474848998152493,-0.9879765372909705,-0.02551499054832509,-0.23661479889793235,-0.39215338424036617,0.25041394569871855,0.28090326265205884,0.4442744317415159,0.4649078814709788,0.363263290175616,0.4550508462941692,0.20879899010953673,0.1841082505108027,0.15430902258196594,0.09166948807215168,0.1619620521768056,0.3553834888910977,0.17074079266044526,-0.3365423044892062,-0.8479424522238542,0.13824070342753292,0.4978263107899081,-0.2604560274037699,-0.589566384364305,0.350373776625411,0.04474413550616305,-0.39668815121599554,-0.43470312130060923,0.4010036592202494,-0.7267861368577608,0.4461651934819509,-0.8089889219476684,0.5451658537273791,0.3133619590405793,0.34308639240957045,-0.21220127648243664,-1.298141078382787,-0.46045811862514024,-0.5071933079150659,0.25316463015671264,0.14399919052623947,-0.4349331848404882,0.7158982623650607,-0.9056660399034293,0.07930526848148348,0.5588799795814053,-0.30639978831827835,0.22835421993479454,0.4498791658299964,0.26398651172434223,-0.08859744699420208,0.1707995414067951,-0.24320071161084897,-0.1507135538130793,0.3453671684836842,-0.485596579613578,0.4223929900913378,0.7460718459131036,0.9533618618740392,-0.3424850778468282,0.5099645582132026,0.3018527749679789,0.20703346209010517,0.17339029378119758,0.1302763297918346,0.44809728253332615,0.5555713330985282,-0.21661321824791754,-0.016136064945400923,-0.09155504309438436,-1.3559005898853977,0.5307951918096675,-0.32487499507860446,0.13237811581307848,0.43055936690391267,0.06875451715938395,0.24410525122701254,-0.015892340813913938,0.10394123733684357,0.19298564563544546,-0.32663863053410847,0.22356346600686966,-0.4671962734330205,0.056059196936242846,0.035525667235480916,-0.6207581773254125,0.158359756508511,0.17748700711707466,-0.08677007661248162,0.07639337121459445,0.24596398550774085,0.0691145776474556,-0.48745834099744983,-0.13332488635142095
Fold n.2,-0.020689560747841985,-0.02066020598386755,0.033454616686287394,-0.037013035539247285,0.034568293982896015,-0.022897160645278497,-0.01646211303464137,-0.03705744095779332,-0.01456377959945436,-0.046165262062024814,-0.0005778641350836519,-0.001117980322304095,0.00915541139229011,0.10496963319907564,-0.036838721902434875,0.19036598199454993,-0.46881659979715307,0.15374889985486515,-0.19286838172277665,0.45907776107332837,0.4383780815135066,-0.5497627152587962,-0.43121563286000586,0.03162933070246154,0.3532382688736381,-0.6721374521269673,0.2851098307225956,-0.1836569332411536,-0.9583322747775195,-0.07364249461027407,0.6251717234789727,0.1491409731481018,-0.1917651144298637,-0.34200586344740086,-0.5697274156540447,-0.05848975451020021,-0.11783266882755147,-0.1802807915939205,0.3718003495603571,-0.9731942923762452,-0.027904344296877,-0.19718981292365248,-0.39241783232074284,0.23642912661892404,0.2706395896790812,0.43981413633904043,0.46223167999460985,0.36429439999032054,0.4405027545700609,0.17499483696061338,0.18248584434757406,0.1692615537786841,0.0920836457698916,0.14605073946393976,0.3607753840906345,0.16403172028703714,-0.3429125466340469,-0.8484068556147704,0.12285694416979441,0.5030133985226629,-0.2681563311237662,-0.579333699898587,0.35302070498716603,0.05802994608413697,-0.38747035903255694,-0.4290194955017875,0.40844862715005525,-0.7268606849348465,0.4282671317247254,-0.7960730386793298,0.5389124269724603,0.32436084803627707,0.3236169228115268,-0.2206869811500719,-1.2860399217301257,-0.4589474493012972,-0.5032211730557076,0.23254190836967095,0.14400762120556448,-0.45601548242665163,0.7061521829223881,-0.9092518817895578,0.09778409415203733,0.5582717051360547,-0.3142202929840796,0.251343564937337,0.4690985152216785,0.25155441772814496,-0.10541510146913399,0.18498095925218117,-0.24625190761599,-0.18315513999936828,0.3545643104203325,-0.47366934000781,0.40533927871507625,0.7417228129162552,0.9384030949125468,-0.35277629761501633,0.5265944853547309,0.2727177274880314,0.21790994136414799,0.18017482844611965,0.17494704208741457,0.44460194906087996,0.5487341928274649,-0.20424061478510713,-0.01900435156879881,-0.11201499350417105,-1.3561415957135383,0.5287958083247557,-0.32328453002127844,0.1393096460179325,0.4282285771782508,0.07065484526867824,0.19185489326162083,-0.02503122910724463,0.12669210581022436,0.21066646109866083,-0.3370973656550948,0.22219051856688526,-0.47443061722168434,0.07277005095884971,0.0574259361805137,-0.6180387837544176,0.14805359193191073,0.1733229597565543,-0.09652018356984073,0.07618040282511875,0.24486506652397202,0.06725665846418695,-0.48710863343510663,-0.13820356152767188
Fold n.3,-0.020078285515455964,-0.021215679719245092,0.03151699259476834,-0.036963354494934625,0.030534616946523416,-0.02360759147175225,-0.016521172876741586,-0.03641290136326723,-0.01464275949767218,-0.046558129108434196,0.001702757079525061,-0.0008135621254469032,0.007904703184418674,0.1076922028526479,-0.03679503918094376,0.18464846037772434,-0.467580503417597,0.13556820851072104,-0.15547521671146639,0.4480320012711712,0.4432499441484294,-0.5591009831483515,-0.4420561570086125,0.02129809148781498,0.3543330393810191,-0.6809686960903345,0.2756961088792678,-0.18997594489566288,-0.9668476616621592,-0.049423876743710314,0.6142220365367768,0.11542940512010307,-0.19562408881415555,-0.33718803369414707,-0.5791133300657141,-0.07923188339858218,-0.11055129619283742,-0.19796701356721844,0.3619455583928134,-0.991535441882559,-0.0006235980233825325,-0.22686235979250258,-0.4052868097849754,0.22738278904841827,0.26445055833071246,0.44943707492214735,0.4832620185242691,0.3580732946427615,0.4210290159630115,0.18674302700491635,0.19131000402629475,0.17522655136812254,0.0819555868799293,0.16101720651499704,0.4045917910862466,0.17138180539974554,-0.3280741484098786,-0.8463360930566166,0.13180405755822405,0.5162182457607054,-0.27380209995162497,-0.5912763978983786,0.3559863546220206,0.046282284170380036,-0.39057596055690236,-0.4451699559441051,0.4211976129990719,-0.7226294006314185,0.43939459437039735,-0.8029727793207367,0.5415700796520171,0.3477431881313556,0.35311244925913593,-0.19196111836402543,-1.2985353696338915,-0.47406599212380823,-0.5032473796842187,0.24906466427630983,0.14756804169778498,-0.4413010566857774,0.6970335792513431,-0.8989921566134941,0.0955665705799765,0.5582810928587298,-0.30498366608072464,0.22122700155505637,0.47789332576424826,0.2571460292598909,-0.09486196657280238,0.1762118106888638,-0.26393714033354077,-0.19766061472802704,0.34869450386027606,-0.4741607195691792,0.400455941102472,0.7421055190800944,0.9492566332223654,-0.3501905325881542,0.5224533944075476,0.3028142431656965,0.22648438729460876,0.18366313374144372,0.18363742994569096,0.4404133816296833,0.5614427377315618,-0.17765070641307762,-0.02736774427906104,-0.09710723647948655,-1.3784526094307428,0.5167379743428309,-0.31782976345245334,0.1383824322064548,0.4321321317429759,0.040959818736839126,0.19715493447615734,-0.019252710302149412,0.08987702176686599,0.21792476944828607,-0.33450938441538247,0.2204971663824991,-0.47158558703278924,0.0774769487920502,0.0407170272889862,-0.6253444038408525,0.14880106249555466,0.18346723351557812,-0.0894658045661072,0.06903049388515752,0.25047022780304834,0.06658992672509902,-0.4876075456576273,-0.140421797559381
Fold n.4,-0.021197705631853758,-0.022027517334958585,0.0340483270898707,-0.03703463360562974,0.03310068083820534,-0.024508245936135584,-0.019671282488024893,-0.03434765287583826,-0.012392746167698554,-0.04427279652197681,-0.0034182871228438066,0.0005144315440015511,0.007102280597385764,0.10183028773779673,-0.035878131646228564,0.21663752952181908,-0.4702019781171717,0.14479047358165828,-0.18509096578444917,0.4541672394381991,0.4565588365154306,-0.5527314964688754,-0.42765162894398884,0.020738655409721356,0.36078936424209396,-0.686343506088578,0.30901259238419443,-0.18088857696343924,-0.9819829691159947,-0.06560851642527676,0.6160322383661022,0.14231200893589555,-0.18701510873553573,-0.33677454127356427,-0.5787862034517501,-0.09052435374142392,-0.11065124954862197,-0.19317400847350208,0.36175655104483595,-0.9815092087849786,-0.0068121523613905175,-0.2222051616606468,-0.3849322589198291,0.23100424014703463,0.29270557093476995,0.4504100515187211,0.46110275901074066,0.3585273454447056,0.4374808463969957,0.19922542064484877,0.1832382702948534,0.153124487826602,0.09137316479237034,0.17339094978532735,0.3742272855845137,0.1756181165608816,-0.3468374629775315,-0.8444633485376414,0.12533412119618578,0.495309198033018,-0.2597814970241866,-0.5798190527827694,0.35413087087712114,0.06132053600588996,-0.389413345055742,-0.42647948293368987,0.39102144447182713,-0.7563493690190956,0.42104535477441185,-0.7908199979741525,0.5501894210017813,0.3347085670811982,0.35314525070102043,-0.20933091565023856,-1.289092912120459,-0.4466981068708358,-0.5040707217853138,0.26036591935619274,0.15017912018527066,-0.4729909574102538,0.7086385780467707,-0.9040740280188957,0.0944531669047232,0.5598283054409969,-0.30233450852999444,0.22648768221194027,0.47691644241636094,0.2457761774193113,-0.09145534502156069,0.18421621939361976,-0.2344868033500378,-0.1614877118844127,0.35167095889986044,-0.49203306141955067,0.43355819244573585,0.7293777762143435,0.9494580389688362,-0.3462376507155797,0.5310548186858318,0.2933433178115782,0.20392625752247265,0.16926503518681174,0.15677913075206526,0.458122031882562,0.5346118281241633,-0.22304204587529894,-0.011367108892730732,-0.0932515908802095,-1.347924883391826,0.5305920020265708,-0.32477902815829796,0.14753280273963756,0.43712352303834856,0.0682980028767566,0.17295423069270294,-0.02115508639446801,0.09518829832685245,0.1882767362089583,-0.363437220210402,0.19249798967183138,-0.47192969684989367,0.048372585987016166,0.04420517200076976,-0.6203754910404754,0.14235042384067725,0.1784496302470409,-0.09142061355222013,0.07732199928146892,0.24700406622168417,0.06437803232797497,-0.48130782216125256,-0.13874574718797755
