Fold,Hyperparameter,Training_accuracy,Test_accuracy,Exp. training acc. estimate,Accuracy estimate (Exp. stat. acc. estimate)
Fold n.0,100.67114093959732,0.2669356219356933,0.2641519418370525,0.2666863867714553,0.26470998195349055
Fold n.1,100.67114093959732,0.266055376376371,0.2668840146272008,0.2666863867714553,0.26470998195349055
Fold n.2,100.67114093959732,0.26658937092460366,0.264821354017333,0.2666863867714553,0.26470998195349055
Fold n.3,100.67114093959732,0.2661430807603431,0.2667627107891336,0.2666863867714553,0.26470998195349055
Fold n.4,100.67114093959732,0.26770848386026547,0.26092988849673315,0.2666863867714553,0.26470998195349055
