Fold,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33,w_34,w_35,w_36,w_37,w_38,w_39,w_40,w_41,w_42,w_43,w_44,w_45,w_46,w_47,w_48,w_49,w_50,w_51,w_52,w_53,w_54,w_55,w_56,w_57,w_58,w_59,w_60,w_61,w_62,w_63,w_64,w_65,w_66,w_67,w_68,w_69,w_70,w_71,w_72,w_73,w_74,w_75,w_76,w_77,w_78,w_79,w_80,w_81,w_82,w_83,w_84,w_85,w_86,w_87,w_88,w_89,w_90,w_91,w_92,w_93,w_94,w_95,w_96,w_97,w_98,w_99,w_100,w_101,w_102,w_103,w_104,w_105,w_106,w_107,w_108,w_109,w_110,w_111,w_112,w_113,w_114,w_115,w_116,w_117,w_118,w_119,w_120,w_121,w_122,w_123,w_124,w_125,w_126,w_127,w_128,w_129,w_130,w_131,w_132,w_133,w_134,w_135,w_136,w_137,w_138,w_139,w_140,w_141,w_142,w_143,w_144,w_145,w_146,w_147,w_148,w_149,w_150,w_151,w_152,w_153,w_154,w_155,w_156,w_157,w_158,w_159,w_160,w_161,w_162,w_163,w_164,w_165,w_166,w_167,w_168,w_169,w_170,w_171,w_172,w_173,w_174,w_175,w_176,w_177,w_178
Fold n.0,0.014976152763008217,-0.00729125466815122,0.0331799903842228,-0.04119405742598641,0.03692818161091446,-0.01607099507563648,-0.030284514438373843,-0.025890377035300813,-0.007436227406914263,-0.05939016012720827,0.0029851555665597997,-0.0038231793498388275,0.014059943067208926,0.12202595297831763,-0.04613681288796062,0.3415522278014118,-0.30541263316104406,0.004673436267491871,-0.40196170634162975,0.41493485476357006,0.5909469683818659,-0.4218426351258816,-0.25326952235261974,-0.02505513879696755,0.4533117134760287,-0.564627589037305,0.33591772343022813,0.013899387617363437,-0.8452813842382165,0.08473218129144537,0.7429187221366268,-0.8310761256748613,-0.03699451722412873,-0.23880490570377821,-0.6929541999651212,-0.49055756592041827,-0.01130066920427062,-0.07057427385490167,0.4121033275680754,-0.8470055019047458,-0.004796102386283149,-0.10786968444256084,-0.2890475607013273,0.2701267402924936,0.3155202043745883,0.035001479422886464,0.08456950303365843,0.4200538652723766,0.5102460515434476,0.2209352299683619,0.37870105619762484,0.26765642268766665,0.050142765836840526,0.3025367327766935,-0.3436877884088396,0.3127774844397991,-0.19103200219619504,-0.6929264602970573,0.17866683208173376,0.6312427141969584,-0.12118697795198796,-0.47468086729903053,0.40002515746264034,0.1484002155301088,-0.2779652711428602,-0.3037282457419735,0.21632270711227963,-0.6049990937907628,0.01526101065090645,-0.6592265554199731,0.6856032952598452,0.29553208012542803,0.29783725219852,-0.10982091801106744,-1.1925874918993076,-0.30364346364345857,-0.33312887680768594,0.3293145572543658,0.2978813840973383,-0.6938905026844447,0.8813874502977671,-0.7571970794637723,-1.0729317299963756,-0.35328120431660426,-0.13464909092990235,0.40744968971257495,0.36384661622805664,0.37476701975620713,0.011023031719690763,0.31646426894066104,-0.12184277121344594,-0.35651162740518555,0.473486488499852,-0.4834092372749817,0.5273756070766149,0.6867451307487611,1.1034759451765483,-0.2162582429234399,0.504153889599447,0.42022200637332185,0.18844521780366838,0.1909416635541895,0.18217600371045212,-0.5999517193153523,-0.4290452534063104,-0.5434552895436816,0.08937787544966598,-0.022882118573950536,-1.1687784962881487,0.6913011469568271,-0.1247596619203943,0.2736971020773421,0.6224888576724931,-0.004122307954970393,0.1840507190066884,0.10353027925613774,-0.00010226796796403219,0.19150357514829452,-0.4931395620203919,0.20274229294778268,-0.2738552936750582,0.1681332882845786,0.15615673827696805,-0.493408035217734,0.20390794351114366,0.1784037059014324,0.03589414049263331,0.2500261361488186,0.36297425862196736,-0.0007252617290327412,0.011255138576714098,0.002132555227098015,0.00997941190141285,-0.007832856180156673,0.019462599053867796,-3.770352602354804e-05,-0.005433910398816712,0.01557061838769087,-0.0009281373657598436,-0.015446419283912454,0.0128875397447257,-0.007292289186222001,0.002653741168729606,-0.0023442275612578964,0.0007233488206400615,0.0009241339062579112,-0.00026403560695930533,-0.0014860064619472359,-0.001238397295519694,-0.004238673533925354,0.002015356829799548,-0.006194744934547924,-0.007760717934643537,0.010411597104855954,-0.00934475110519683,0.00891090738561949,-0.01270849763235516,0.004407334237052581,0.0076708498470974265,-0.0005541488969402808,0.007966684565103412,-0.010816849935105418,0.0028202808274698414,-0.00726399926350699,0.012359923950338083,0.008564975553573646,0.0021487086703218064,-0.016072420206671757,0.00332481337790953,0.005426597014688418,-0.023745279113094882,0.00241757861203785,0.007463229428202231,0.010906843470547926,-0.01635453254337454,-0.011633171308483955,-0.009848766980699156,-0.0016087244148034602,0.011705117066919296
Fold n.1,0.013517976119791518,-0.005115385461559121,0.03481260926011708,-0.037931485763594085,0.037159115716202874,-0.014705347987414462,-0.02732999619822668,-0.02627636061915055,-0.008621126428934004,-0.05981341067607989,0.005269552365511242,-0.00576395724711545,0.014086884479169275,0.11698364728700998,-0.04358316779837504,0.3698509804095872,-0.30832025581212197,-0.015146480129562807,-0.44573330630170516,0.4007487572385101,0.5970497168706996,-0.42225813379392263,-0.2459928176566222,-0.0395237595301751,0.4625167007169786,-0.5707414306634292,0.36009456372222015,0.010761776563912816,-0.8467010394389478,0.06981583533310458,0.7562954450373499,-0.8200752719213039,-0.03262668117680943,-0.24546194802015664,-0.6467207567846925,-0.48636144063620046,0.012674581810369765,-0.06682051455228416,0.4226642749378237,-0.8520148214698151,-0.016400621787974395,-0.12682595117113757,-0.29474785144480464,0.2744637638871482,0.3005171161053989,0.013491535032461222,0.10146690974761197,0.42604311568337544,0.5442410603118987,0.26518606559060226,0.36900354930688833,0.2555947962795406,0.08902609670826638,0.2707155127431317,-0.35620306884745073,0.31327589442299925,-0.17564570337645724,-0.6962631483860185,0.18011852960679753,0.6037844301174176,-0.11776093448354752,-0.47852573419949224,0.3760230143167094,0.13366914251418285,-0.2969134576622853,-0.3039319815243909,0.22132979826713178,-0.613087595113017,0.020613477125413497,-0.6577491140853172,0.6941631605360571,0.26343924386257106,0.30564813225213694,-0.09684225116341005,-1.194149295864034,-0.2966050787463136,-0.33473557733418513,0.3204808937549524,0.28518151379419143,-0.6485374365074851,0.8933462505445928,-0.7574923175736906,-1.0611681860613245,-0.3873652965874693,-0.1385295727132861,0.40887934413304566,0.36146278313930663,0.35975673709242095,0.024971400151164815,0.31346568718191214,-0.11047214550911763,-0.3453938211161521,0.46798289539620214,-0.500349155113281,0.5252293731275801,0.6384263152895117,1.1059689621023832,-0.23082892145835618,0.4994947006113899,0.42557732040742446,0.19168855983610075,0.20028572787275165,0.15289814600657342,-0.5983840014824585,-0.40955121445804576,-0.5288644023451252,0.09035161623363738,-0.006903592856830603,-1.1627810604168274,0.6907168479016818,-0.13854740138885407,0.2764442091133569,0.6237194970319349,-0.007544267105997223,0.23862757226608394,0.1008665661831952,0.007353251608827149,0.17385985206066087,-0.4782357018899317,0.20442403395006956,-0.26241306256945857,0.13631293365266298,0.1310195925334093,-0.4894691303451789,0.22251473100966776,0.16147588856458203,0.057035995355838864,0.24871968797612015,0.3544088237546821,-0.0021876475672712226,0.012900542228152215,0.002379954912622898,0.009823221608435928,-0.006855301306742731,0.020050120711523844,-0.002441599748020889,-0.005513519206999716,0.017314348301258147,-0.0011785799820167447,-0.015877242176853993,0.012368883508175093,-0.007567107806219885,0.0012033522225555692,-0.0018123546684084182,0.0018550231716168645,-0.0006593673865398229,0.0019084080723891978,-0.0025782400572358843,-0.0005388086820477672,-0.0047125794463043595,0.006767657011095167,-0.004037755234427553,-0.007412136258101155,0.010229568044442711,-0.010424230164588507,0.00814141007840731,-0.009299905351598678,0.003911624756666396,0.009892104100400466,-0.0025907205758970123,0.007454508033069076,-0.008809642897503288,0.0021812382014450415,-0.011128769345037358,0.011943362651327878,0.011090928667517362,0.0018645998742981675,-0.0159596656125508,0.0017467435375996708,0.007156780362461393,-0.023944914667779996,0.0016024301230236802,0.0068164806870028545,0.009331236982760603,-0.018433278454907796,-0.010182632856423611,-0.012701851250717456,-0.0014485824288445236,0.010651857764310196
Fold n.2,0.013602289690158998,-0.005643393125111045,0.03640819710625739,-0.04154381345660719,0.04111946971911252,-0.015357329071452262,-0.028159180675227404,-0.028799192517916024,-0.009225354507565708,-0.05915591521158447,0.006125616687459393,-0.006171331548047218,0.015502900411046966,0.12161509734092471,-0.042210466771819014,0.3316208944468055,-0.30859185987715315,0.006855913816968598,-0.4244701028161233,0.4222319591461807,0.5870932603389163,-0.4044395761010694,-0.24035434206201922,-0.006882327899646798,0.45139656718402466,-0.5540741020115022,0.33040478585176264,0.015378115118670582,-0.8352939912261839,0.06454923731770278,0.7577736825710742,-0.8155262235009861,-0.03850193092492906,-0.2329027056601924,-0.67260809534636,-0.46550551218609176,-0.038208751629039674,-0.058041535735963726,0.43183507761917034,-0.8434822527680116,-0.008343305310518492,-0.08984281271494494,-0.302599465673061,0.26764719261986053,0.3041414382805015,0.01967644244220728,0.09160330333409944,0.42520537916180556,0.5304462049800904,0.23224043903744773,0.3726064565147448,0.2756469792192148,0.07627870241768436,0.2792875001642684,-0.362530764765702,0.3144119104679003,-0.18352661521057928,-0.6875590840942026,0.16396529031264287,0.6120227941181576,-0.12080218330802966,-0.46698354289614524,0.36972831240117565,0.14063918689328916,-0.2839811574389455,-0.2947877347480923,0.22934512794938294,-0.6036750426689135,-0.007500717397370788,-0.6479462726605739,0.6893021704546379,0.27460343513195484,0.2923833844820765,-0.1187186934470365,-1.1844907643592322,-0.2998650579475618,-0.3292439210322017,0.3079631799269349,0.29514122805249315,-0.6687625838757592,0.8762134686261648,-0.7642665499021439,-1.0533647432800561,-0.3826536778707705,-0.14284383003759732,0.4369000194625513,0.3959441209026024,0.354200835281124,0.0030789375006172563,0.32697463694779083,-0.11175002575895358,-0.351310967618532,0.4767042163603285,-0.50587467222575,0.5139425717059528,0.6084486929441383,1.098165672753025,-0.22915989565414038,0.5165090734183527,0.39767099513520426,0.20734116138140063,0.19965384677687775,0.21051934612133494,-0.6309873090622625,-0.43995487140212003,-0.5240514600793993,0.08934747371637938,-0.03137851740498358,-1.1617659269698308,0.6871730087001168,-0.1306667518360137,0.2804280092199038,0.6238527750777331,-0.005045949461310723,0.1798890682107774,0.09684484212856406,0.03742126722863239,0.19761049246756324,-0.4943374007682541,0.21058053689122913,-0.271744700253878,0.1662567283195423,0.15397515506945583,-0.4868320979467753,0.20731964360958438,0.16854861268038265,0.043740732643466285,0.24964136558536948,0.35331180787693484,-0.0031636924329835918,0.01152651055439721,0.0014087382047095543,0.008493586274145473,-0.007426139162051076,0.020620191607170484,0.00023048308343231354,-0.007207424862896639,0.01646825256433329,-0.00041187598116839926,-0.013076505376482764,0.012670319069850297,-0.0049242529844768955,0.0011732383048137518,-0.003182636864249291,0.0027441917452513936,-0.00039690861031278183,0.0006885839960702195,-0.0006443341557254963,0.00010741239004326702,-0.005074849306510448,0.004433721490492355,-0.004098695261276477,-0.007514862227045186,0.009528350092632202,-0.0114601907740355,0.012371307845099249,-0.009720757888598086,8.429377979048251e-05,0.012613104884689929,-0.0030447402067208204,0.0092401495105574,-0.012065032839504735,0.0049733429214982175,-0.007721300219594322,0.012459727222959146,0.00844357729761801,0.0031373555568861866,-0.016767841373691417,0.0016836305025068866,0.008167953102779032,-0.025640062735543888,-0.0006368431460745905,0.007116963505707017,0.00742936554200681,-0.020942921056029948,-0.011134679860224404,-0.009284716486687668,-0.003947849626119416,0.014465889825506551
Fold n.3,0.015261404092295382,-0.006417631403306783,0.03640266169411952,-0.040814810512130865,0.03679449269571935,-0.01744277055261482,-0.02782027676799538,-0.02787718535530342,-0.00883738188257354,-0.059257704260168666,0.0065225773590242625,-0.004733886134904849,0.013388064184654951,0.12155240899750151,-0.044235028091492684,0.33201656303896826,-0.31255093987828964,-0.022646587553556013,-0.3955646359398707,0.4184515128828725,0.6016354727625521,-0.40967790645543384,-0.2527628476833104,-0.022728679128096303,0.4547803727280684,-0.5657215456864322,0.31263259198626875,0.011676147873708395,-0.8451872346653777,0.09496402278110531,0.7538631104537202,-0.8391997286678219,-0.039189355234925345,-0.22327651983023392,-0.6764540887843749,-0.49078168102631947,-0.015741300499123586,-0.06961970908454469,0.4066127766737564,-0.8576146648132772,0.019624652134070476,-0.11180714064974957,-0.3089047834510955,0.2519666014268631,0.2973708905340278,0.020316339387986795,0.12037627326622394,0.4159121881410317,0.5069790710021169,0.24237563997624395,0.3784323720294565,0.28115951563909974,0.06728235456102429,0.2783726931197673,-0.3508812627534038,0.3164847687115512,-0.16883644141481044,-0.6837290025045286,0.18324505662443993,0.6227167480917547,-0.12269876819880923,-0.4824238250866741,0.3740066056087534,0.1358177522933066,-0.28528193789939377,-0.30564312234295965,0.2368111574024462,-0.6018112506439665,-0.004631635129904534,-0.6527616306392316,0.6830160614562377,0.30788506900516954,0.3350059039386909,-0.08684989826629301,-1.1856276969252066,-0.3040214948461119,-0.33026981334291944,0.31760703134024176,0.2946421988827421,-0.656158313612496,0.8560106535872581,-0.7532448631211155,-1.079305561991678,-0.3722127277727734,-0.12987336315864187,0.41417446100240296,0.39735509350005044,0.35459034051388993,0.017321734250536843,0.3163140189018703,-0.13075531873460683,-0.3540103651298085,0.46256242990294566,-0.4890311045642523,0.5072654473882611,0.6066891914207406,1.1015838409829157,-0.22017961536461417,0.5061233679334249,0.42790988959707377,0.2008605965442427,0.207896292099012,0.21575372838743237,-0.6130867795723809,-0.40968172475418513,-0.5118936834113378,0.08055720213751862,-0.018140069590265484,-1.1842194865441058,0.6764841006136142,-0.12471802001328579,0.2778601047400476,0.625343032638161,-0.014665744079530824,0.18846198106559392,0.10080465121706686,-0.024698882171270725,0.20386391220273248,-0.4866447137326844,0.1967975495747171,-0.2684064538151635,0.16760747393833783,0.1437785899446977,-0.4859028967594038,0.21270701970348618,0.17062492262777132,0.0527564383988293,0.24040403871391525,0.36248660172941094,-0.0018186757929523987,0.010577370679498162,0.00169513328238481,0.009130190909767473,-0.006533466823446954,0.01985158261600483,-0.001024950884798574,-0.005519071509740859,0.01662251639206807,-0.00013520386020243343,-0.012883937718610487,0.012096197853247706,-0.005882771472328349,0.0024700229447145537,-0.002423065360054981,-0.00018726232069598075,0.0003216311566076328,0.001894891887473325,-0.003005609772341387,-0.0016007252019979456,-0.00453990063995976,0.004279875472424563,-0.0049119561579313,-0.006910028493465723,0.010377955030205135,-0.00986937079590967,0.010919481704037544,-0.010569300933460727,0.0034974714466891113,0.01073625400465329,-0.002779889869028369,0.008304203878545694,-0.013656095874948156,0.0031248988525049135,-0.008962781464668257,0.013431708258499016,0.008615949630022608,0.0006742766760704384,-0.016730062358855536,0.0025015322529987165,0.006700413015044289,-0.02650652306478269,0.0005697051679909785,0.006159573686587775,0.00863081459986955,-0.01792165146111436,-0.008956342685331494,-0.009056846982973458,8.676805482970511e-05,0.011735193550800603
Fold n.4,0.016877222641963733,-0.006504702586404883,0.03778280281775248,-0.03814573937064108,0.03711873476856268,-0.018919546862504535,-0.030355663778627483,-0.027441918941876628,-0.007408396822208596,-0.05903876264740327,0.003695115624849657,-0.004585529792809796,0.012121614473024182,0.11676353549832132,-0.04619212275560599,0.3636516881312557,-0.3180537831748725,-0.011103108877287951,-0.4044546103178081,0.4320085913106734,0.6136500009057367,-0.408484734030502,-0.2403189617553188,-9.538452937278925e-05,0.4567769084537819,-0.5727376373926876,0.3629337367378049,0.0162418513118824,-0.8630486750919478,0.08495574369505325,0.7512638477890546,-0.8270248512628672,-0.038059474705216874,-0.21747500213910598,-0.6663698538570173,-0.5080068499252952,-0.02758300853724437,-0.07516514379460579,0.40885845224354955,-0.8542862048446035,0.012743217548770726,-0.10573692179186943,-0.29522202621805,0.24748989053161013,0.3191864115091137,0.03975571889421564,0.09176359706086033,0.4226090676881756,0.5217506427592619,0.25407841005968235,0.3693059182304563,0.25223246814544636,0.08892369611427198,0.29487105661283614,-0.3543027122803242,0.3163114409699279,-0.18604147794760736,-0.6879781163148967,0.1684421677692837,0.5944804327185366,-0.1054109092039691,-0.47237588580984496,0.37761903230154625,0.14618832306077217,-0.2856527586780861,-0.29154897152845466,0.21363013147944354,-0.6176536122849128,0.001145812457269754,-0.6459714589047528,0.6896890550035866,0.3008307613699254,0.32541927676187343,-0.10447393926887717,-1.181684008187656,-0.28504574226897783,-0.33803860485794845,0.3397771058634276,0.2953410470736742,-0.6862475526924662,0.8714603303826435,-0.755299204715121,-1.0695037293228735,-0.3685111560738888,-0.12541573448249713,0.4088240462236623,0.40113776367425613,0.34214664271237877,0.014475007893769327,0.32922658563200013,-0.10780309501876743,-0.3565437186120385,0.4718211809898117,-0.497073923914303,0.5400514342591011,0.606124335462581,1.1012393349291971,-0.22328251174914987,0.5152606168366576,0.4165239268937199,0.18467404493678055,0.18789627412393523,0.1847209353685285,-0.622620181456878,-0.4487311399746056,-0.5460439045588995,0.11359955146248378,0.002759608405282963,-1.1605999718690663,0.6853201545792983,-0.1363456086954568,0.28490797809460366,0.6236739150153783,0.003157153354352985,0.14539803566148488,0.10552291462695722,-0.0008449808657687278,0.1703930011823819,-0.5183395385566899,0.19921994555604014,-0.27183015959943324,0.1319836107762034,0.1478603032267269,-0.4869515214261563,0.20513262926819195,0.16350562571707877,0.04981403722169773,0.2462601917105361,0.36025266726828775,-0.0017538557008128406,0.010054124043954836,0.0023225967268002564,0.009184749623050123,-0.00845545633388178,0.020564772695731173,-0.001448359390891718,-0.008727274665932806,0.017966636784478615,0.0023730125913167853,-0.013184279978263436,0.013582858506781492,-0.007872070323734522,0.0010232478566116882,0.0009307554421329339,0.0003462133806912915,0.0013461299348003382,0.0005796700156216472,-0.0011664291957763778,-0.0004552235401507061,-0.0035466634838881438,0.0017088805229016487,-0.0035614658372217305,-0.008585940533566021,0.009031698812445317,-0.007254526050382633,0.009372188494104875,-0.009855717319240115,0.0019946308636608636,0.00947766577297193,-0.001790445673064661,0.008699284666686916,-0.012333816332000008,0.004666389804811568,-0.007672330886479215,0.011233377678229501,0.008497035457307709,0.005556629166911496,-0.016051080346511336,0.0013048935967684024,0.004484670663896402,-0.02565067579839921,-0.0002642279400957279,0.008106399160626249,0.008271400553262068,-0.020188604297605,-0.009645016646992228,-0.009813571372785755,-0.00222935046248722,0.01164975782577199
