Fold,Hyperparameter,Training_accuracy,Test_accuracy,Exp. training acc. estimate,Accuracy estimate (Exp. stat. acc. estimate)
Fold n.0,0.0,0.3994568318096894,0.3937537784571937,0.397404810610945,0.395789037915533
Fold n.1,0.0,0.39672547419621484,0.39767525630264156,0.397404810610945,0.395789037915533
Fold n.2,0.0,0.3971752870418348,0.3965361480792733,0.397404810610945,0.395789037915533
Fold n.3,0.0,0.3990013298568825,0.39453308550755806,0.397404810610945,0.395789037915533
Fold n.4,402.6845637583893,0.3946651301501036,0.3964469212309987,0.397404810610945,0.395789037915533
