Fold,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18
Fold n.0,0.01831003625084816,-0.02637551768384972,0.03763353097470519,-0.04248690053870276,0.011630512079336037,-0.02725682754295605,-0.022134051944428152,-0.042859421141938046,-0.016973926542279808,-0.040643192609521234,-0.013827348827207502,0.0008914198898254554,0.004780138952054233,0.41346200544170836,0.13874488746962843,-0.050057863400737534,0.09690118084691457,-0.3483696267716182,-0.10474754337577835
Fold n.1,0.017845339691743987,-0.023724349790892905,0.03998763993757756,-0.042445572047244605,0.01186049973626258,-0.023656888508623592,-0.020379894025307866,-0.04262134587335859,-0.016519306109861628,-0.03969039536844469,-0.011340807593098292,-0.0005580643283244318,0.004929363187216714,0.4115994387110022,0.13654726748092957,-0.049011958125807546,0.09447360671211573,-0.34789502880481243,-0.10069384251898841
Fold n.2,0.01677183743976935,-0.024357265693793755,0.040248551482475484,-0.043394011845671605,0.015082784650851411,-0.026247498289323105,-0.020169320967712952,-0.04428928347080704,-0.01821379637702808,-0.03944942575219621,-0.011002717747757006,-0.0007900813609310579,0.004949597667429053,0.4090610158795448,0.14201923121223733,-0.047975009558828184,0.09275929197663156,-0.3452971586073137,-0.10629993826246155
Fold n.3,0.016189075417289076,-0.024734205193391565,0.038988786130637235,-0.04353368386899873,0.011249953975438381,-0.026864972455692453,-0.022163373047033894,-0.04427133165734486,-0.01813527080582358,-0.0400604915212533,-0.008967187564631988,0.0003926196480504037,0.0035272674164367563,0.411953022771328,0.14514207314255412,-0.04746523464444696,0.09324423142366328,-0.3474280057511892,-0.10681796659449584
Fold n.4,0.015826199313722807,-0.025021716547172362,0.04031790126281711,-0.043472786941335495,0.013801930088385022,-0.026975970284906135,-0.022511860469733427,-0.041839611078431316,-0.01595829116983342,-0.03856581682157929,-0.013252858179160536,0.0015948317319015137,0.0032598263194458022,0.4106729458459076,0.13529897975862817,-0.0455786014033691,0.09008334316951581,-0.33923270666438693,-0.10377742658487585
